ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected
1759314323.718031,CoHmGt2kQmn41H0pW2,10.0.0.1,54450,8.8.8.8,53,udp,39230,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314345.17042,CUotgjqaIw81OKCxf,10.0.0.1,53682,8.8.8.8,53,udp,1228,0.0186631679534912,accounts.youtube.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,['www3.l.google.com'],[74.0],False
1759314446.29413,CdUhwJivJLFclgFud,10.0.0.1,36970,8.8.8.8,53,udp,43819,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314479.065512,CjvrUL1DtSw8g52bVc,10.0.0.1,58337,8.8.8.8,53,udp,12981,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314363.962914,Cv8B8K3eshwKvOtMNj,10.0.0.1,47359,8.8.8.8,53,udp,65181,0.0260610580444335,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['2620:2d:4000:1::96', '2620:2d:4000:1::22', '2001:67c:1562::24', '2620:2d:4000:1::23', '2001:67c:1562::23', '2620:2d:4000:1::97', '2620:2d:4000:1::2a', '2620:2d:4000:1::2b', '2620:2d:4002:1::197', '2620:2d:4002:1::196', '2620:2d:4000:1::98', '2620:2d:4002:1::198']","[23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]",False
1759314500.236609,C0lbrL30OWZFc8YKLh,10.0.0.1,53796,8.8.8.8,53,udp,20643,,onedscolprdcus08.centralus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759314351.261764,CuR5oo39QVlEERYv1l,10.0.0.1,40925,8.8.8.8,53,udp,22274,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314380.234278,Cmjh6s1o9oYKT6F0Ka,10.0.0.1,35156,8.8.8.8,53,udp,35947,,onedscolprdeus20.eastus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759314502.055283,CrvbogM9IoiIS7A9k,10.0.0.1,37634,8.8.8.8,53,udp,58000,0.0150589942932128,connectivity-check.ubuntu.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['91.189.91.98', '91.189.91.48', '185.125.190.18', '185.125.190.97', '91.189.91.49', '185.125.190.49', '91.189.91.97', '185.125.190.98', '185.125.190.17', '91.189.91.96', '185.125.190.96', '185.125.190.48']","[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0]",False
1759314380.219486,CD50yw2nEcLykpAPx6,10.0.0.1,57838,8.8.8.8,53,udp,33668,0.0140080451965332,mobile.events.data.microsoft.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,['20.44.10.122'],[3.0],False
1759314386.179762,Cmjh6s1o9oYKT6F0Ka,10.0.0.1,35156,8.8.8.8,53,udp,35947,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314506.16835,C0lbrL30OWZFc8YKLh,10.0.0.1,53796,8.8.8.8,53,udp,20643,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314440.220704,CwZwnu2UOP84RQybib,10.0.0.1,34037,8.8.8.8,53,udp,24821,0.0197689533233642,mobile.events.data.microsoft.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdcus06.centralus.cloudapp.azure.com', '13.89.179.8']","[99.0, 23.0, 6.0]",False
1759314560.245067,CoveRC1znbvI3BEht2,10.0.0.1,53245,8.8.8.8,53,udp,14203,,onedscolprdcus17.centralus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759314473.006266,CnjP8u3R5pxO2SuJ45,10.0.0.1,53081,8.8.8.8,53,udp,11770,0.0245959758758544,ssl.gstatic.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,['142.251.12.94'],[58.0],False
1759314473.00627,CjvrUL1DtSw8g52bVc,10.0.0.1,58337,8.8.8.8,53,udp,12981,,ssl.gstatic.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759314500.220001,CJoz0x3LPcWSqjZGfg,10.0.0.1,54238,8.8.8.8,53,udp,62100,0.0152630805969238,mobile.events.data.microsoft.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdcus08.centralus.cloudapp.azure.com', '104.208.16.88']","[39.0, 27.0, 4.0]",False
1759314560.226535,CBRN5c4bpjqF1WyS9e,10.0.0.1,59943,8.8.8.8,53,udp,44790,0.0173358917236328,mobile.events.data.microsoft.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdcus17.centralus.cloudapp.azure.com', '104.208.16.91']","[99.0, 24.0, 8.0]",False
1759317030.394774,CKMBpN2wocgHvUCnth,10.0.0.1,57535,8.8.8.8,53,udp,56010,0.0055959224700927,mtalk.google.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['mobile-gtalk.l.google.com', '74.125.24.188']","[19.0, 196.0]",False
1759317029.551516,CnfRO313bqSfG2J5kl,fe80::f2a4:8a20:4403:72b7,5353,ff02::fb,5353,udp,0,,_afpovertcp._tcp.local,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,False,False,0,"['ubun2.local', 'fe80::f2a4:8a20:4403:72b7']","[120.0, 120.0]",False
1759314566.204809,CoveRC1znbvI3BEht2,10.0.0.1,53245,8.8.8.8,53,udp,14203,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759317032.449431,CN4WrS1tGKdcH8Uro8,10.0.0.1,49415,8.8.8.8,53,udp,59906,,onedscolprdeus08.eastus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,True
1759317027.979915,Ce1g9h1sHX1C6u2Zlj,10.0.0.2,5353,224.0.0.251,5353,udp,0,3.5621321201324463,2.0.0.10.in-addr.arpa,1.0,C_INTERNET,255.0,*,0.0,NOERROR,True,False,False,False,0,"['humanity.local', '10.0.0.2', 'humanity.local', 'fe80::3113:d8f7:b14f:cd9c']","[120.0, 120.0, 120.0, 120.0]",False
1759317028.549737,Cd2cuh2vbQi8ip8E6j,10.0.0.1,54373,8.8.8.8,53,udp,6121,0.0061700344085693,mobile.events.data.microsoft.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdeus08.eastus.cloudapp.azure.com', '20.42.65.88']","[114.0, 57.0, 8.0]",False
1759317027.607113,CKQSAg3YgZjrH42XRb,10.0.0.1,5353,224.0.0.251,5353,udp,0,0.7975261211395264,_afpovertcp._tcp.local,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,False,False,0,"['ubun2.local', '10.0.0.1', 'ubun2.local', 'fe80::f2a4:8a20:4403:72b7']","[120.0, 120.0, 120.0, 120.0]",False
1759317028.302941,C7mST71a8ojWhD9jc,10.0.0.1,39835,8.8.8.8,53,udp,49260,0.0077569484710693,clients2.google.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,['clients.l.google.com'],[231.0],False
1759317027.702909,CKQSAg3YgZjrH42XRb,10.0.0.1,5353,224.0.0.251,5353,udp,0,1.8486030101776123,1.0.0.10.in-addr.arpa,1.0,C_INTERNET,255.0,*,0.0,NOERROR,True,False,False,False,0,"['ubun2.local', '10.0.0.1', 'ubun2.local', 'fe80::f2a4:8a20:4403:72b7']","[120.0, 120.0, 120.0, 120.0]",False
1759314618.709318,CYxRgq438XQ7beWco5,10.0.0.1,55665,8.8.8.8,53,udp,51448,0.0080170631408691,azurefd-t-fb-prod.trafficmanager.net,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,"['dual.part-0011.t-0009.fb-t-msedge.net', 'part-0011.t-0009.fb-t-msedge.net']","[34.0, 34.0]",False
1759317028.302937,CVOazn2jPvHZdMVTq8,10.0.0.1,49307,8.8.8.8,53,udp,35813,0.0088598728179931,clients2.google.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['clients.l.google.com', '172.253.118.100', '172.253.118.138', '172.253.118.139', '172.253.118.113', '172.253.118.101', '172.253.118.102']","[231.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]",False
1759314620.233661,CzFe172m64WiKj90a2,10.0.0.1,43398,8.8.8.8,53,udp,48797,,onedscolprdwus10.westus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759317027.624348,CkRK5T2X137ToITnO6,10.0.0.1,50576,8.8.8.8,53,udp,20107,0.0169141292572021,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['2620:2d:4000:1::23', '2620:2d:4002:1::197', '2001:67c:1562::23', '2620:2d:4000:1::96', '2620:2d:4000:1::97', '2001:67c:1562::24', '2620:2d:4002:1::196', '2620:2d:4000:1::98', '2620:2d:4002:1::198', '2620:2d:4000:1::22', '2620:2d:4000:1::2a', '2620:2d:4000:1::2b']","[38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0]",False
1759314620.225492,CK7cIG3VgDzmVB9Yn7,10.0.0.1,46638,8.8.8.8,53,udp,48733,0.007375955581665,mobile.events.data.microsoft.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdwus10.westus.cloudapp.azure.com']","[40.0, 26.0]",False
1759317028.557381,C1p1Cz3fZhnLdS9xj1,10.0.0.1,60720,8.8.8.8,53,udp,39241,,onedscolprdeus08.eastus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759314618.701162,CTBrzu2zegWAeaoEPi,10.0.0.1,49024,8.8.8.8,53,udp,53907,0.0073659420013427,main.vscode-cdn.net,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,"['vscode-cdn.z01.azurefd.net', 'star-azurefd-prod.trafficmanager.net', 'shed.dual-low.part-0045.t-0009.t-msedge.net', 'azurefd-t-fb-prod.trafficmanager.net']","[2014.0, 12.0, 53.0, 209.0]",False
1759317031.697489,CnfRO313bqSfG2J5kl,fe80::f2a4:8a20:4403:72b7,5353,ff02::fb,5353,udp,0,,_afpovertcp._tcp.local,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,False,False,0,"['ubun2.local', 'fe80::f2a4:8a20:4403:72b7']","[120.0, 120.0]",False
1759314618.701155,CKcwRujoU8Cva77ud,10.0.0.1,54161,8.8.8.8,53,udp,1478,0.0073771476745605,main.vscode-cdn.net,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['vscode-cdn.z01.azurefd.net', 'star-azurefd-prod.trafficmanager.net', 'shed.dual-low.part-0045.t-0009.t-msedge.net', 'azurefd-t-fb-prod.trafficmanager.net', 'dual.part-0011.t-0009.fb-t-msedge.net', 'part-0011.t-0009.fb-t-msedge.net', '13.107.253.39', '13.107.226.39']","[2013.0, 11.0, 52.0, 209.0, 33.0, 33.0, 33.0, 33.0]",False
1759314618.717972,C8ipXk4Ot0LafM51Ii,10.0.0.1,36811,8.8.8.8,53,udp,63607,,part-0011.t-0009.fb-t-msedge.net,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759314620.225485,CubMBZ23oN3sjp9MTl,10.0.0.1,55356,8.8.8.8,53,udp,42246,0.0073869228363037,mobile.events.data.microsoft.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdwus17.westus.cloudapp.azure.com', '20.189.173.16']","[40.0, 30.0, 7.0]",False
1759317044.262591,CROSKB1dDNVzK9H7sg,10.0.0.1,44347,8.8.8.8,53,udp,49162,0.0058591365814208,rr4---sn-8pxuuxa-nbo6k.googlevideo.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['rr4.sn-8pxuuxa-nbo6k.googlevideo.com', '116.108.196.111']","[667.0, 1468.0]",False
1759317041.21731,CoQqJS2wBwqzYgyQw1,10.0.0.1,51428,8.8.8.8,53,udp,21915,,www.google.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759317044.794359,Cyo4dMiendZUjTryc,10.0.0.1,50919,8.8.8.8,53,udp,17615,0.0072979927062988,rr2---sn-npoldne7.googlevideo.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['rr2.sn-npoldne7.googlevideo.com', '142.251.91.135']","[669.0, 669.0]",False
1759317044.794736,CC79mesBYxNHsuLC9,10.0.0.1,50019,8.8.8.8,53,udp,17039,0.0069241523742675,rr2---sn-npoldne7.googlevideo.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,['rr2.sn-npoldne7.googlevideo.com'],[670.0],False
1759317041.252059,CY4BZq4kJ6mJtW43t6,10.0.0.1,37722,8.8.8.8,53,udp,21463,0.0120880603790283,www.youtube.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['youtube-ui.l.google.com', '172.253.118.91', '172.253.118.93', '172.253.118.136', '172.253.118.190', '142.251.10.190', '142.251.10.91', '142.251.10.136', '142.251.10.93', '142.251.12.91', '142.251.12.136', '142.251.12.93', '142.251.12.190', '64.233.170.91', '64.233.170.136', '64.233.170.190', '64.233.170.93']","[281.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0, 267.0]",False
1759314624.776454,C8ipXk4Ot0LafM51Ii,10.0.0.1,36811,8.8.8.8,53,udp,63607,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759317041.217306,Cx8w0A4WFVXcS2dftg,10.0.0.1,43196,8.8.8.8,53,udp,53825,0.0089120864868164,www.google.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['74.125.200.103', '74.125.200.106', '74.125.200.99', '74.125.200.104', '74.125.200.147', '74.125.200.105']","[278.0, 278.0, 278.0, 278.0, 278.0, 278.0]",False
1759314626.171391,CzFe172m64WiKj90a2,10.0.0.1,43398,8.8.8.8,53,udp,48797,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759317037.210818,CIrMj5312Ynbl3rV6k,10.0.0.1,45655,8.8.8.8,53,udp,13283,0.0035419464111328,1.0.17.172.in-addr.arpa,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,True,True,0,['172.17.0.1'],[0.0],False
1759317044.262595,C2HOmm3KCsbVHHN4le,10.0.0.1,42724,8.8.8.8,53,udp,57170,0.0060300827026367,rr4---sn-8pxuuxa-nbo6k.googlevideo.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,['rr4.sn-8pxuuxa-nbo6k.googlevideo.com'],[667.0],False
1759317027.624345,C9eUUG14xltpAWuXm7,10.0.0.1,35341,8.8.8.8,53,udp,9659,0.0169148445129394,connectivity-check.ubuntu.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['185.125.190.97', '91.189.91.96', '91.189.91.48', '91.189.91.98', '185.125.190.18', '91.189.91.97', '91.189.91.49', '185.125.190.17', '185.125.190.48', '185.125.190.49', '185.125.190.96', '185.125.190.98']","[39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0, 39.0]",False
1759317056.21986,C0Cw5KyhL4sx5F2Wg,10.0.0.1,60481,8.8.8.8,53,udp,22202,0.0151200294494628,clients4.google.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['clients.l.google.com', '172.253.118.100', '172.253.118.138', '172.253.118.139', '172.253.118.113', '172.253.118.101', '172.253.118.102']","[231.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",False
1759317028.311566,CpOG8R3gz3AgEargcc,10.0.0.1,51717,8.8.8.8,53,udp,8982,,clients.l.google.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759317027.723494,Ce1g9h1sHX1C6u2Zlj,10.0.0.2,5353,224.0.0.251,5353,udp,0,0.7067859172821045,_afpovertcp._tcp.local,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,False,False,0,"['humanity.local', '10.0.0.2', 'humanity.local', 'fe80::3113:d8f7:b14f:cd9c']","[120.0, 120.0, 120.0, 120.0]",False
1759317028.404893,CnfRO313bqSfG2J5kl,fe80::f2a4:8a20:4403:72b7,5353,ff02::fb,5353,udp,0,,_afpovertcp._tcp.local,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,False,False,0,"['ubun2.local', 'fe80::f2a4:8a20:4403:72b7']","[120.0, 120.0]",False
1759317029.486162,CTBr4f3orVYudzEvKb,fe80::3113:d8f7:b14f:cd9c,5353,ff02::fb,5353,udp,0,,c.9.d.c.f.4.1.b.7.f.8.d.3.1.1.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,,,,,0.0,NOERROR,True,False,False,False,0,"['humanity.local', 'fe80::3113:d8f7:b14f:cd9c']","[120.0, 120.0]",False
1759317056.236052,CGC02j1MHKLpUbqyL,10.0.0.1,49146,8.8.8.8,53,udp,5119,,clients.l.google.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759317027.7287,Ce1g9h1sHX1C6u2Zlj,10.0.0.2,5353,224.0.0.251,5353,udp,0,1.7574241161346436,2.0.0.10.in-addr.arpa,1.0,C_INTERNET,255.0,*,0.0,NOERROR,True,False,False,False,0,"['humanity.local', '10.0.0.2', 'humanity.local', 'fe80::3113:d8f7:b14f:cd9c']","[120.0, 120.0, 120.0, 120.0]",False
1759317027.953523,CKQSAg3YgZjrH42XRb,10.0.0.1,5353,224.0.0.251,5353,udp,0,3.743764162063599,1.0.0.10.in-addr.arpa,1.0,C_INTERNET,255.0,*,0.0,NOERROR,True,False,False,False,0,"['ubun2.local', '10.0.0.1', 'ubun2.local', 'fe80::f2a4:8a20:4403:72b7']","[120.0, 120.0, 120.0, 120.0]",False
1759317032.445925,CN4WrS1tGKdcH8Uro8,10.0.0.1,49415,8.8.8.8,53,udp,24332,,onedscolprdeus08.eastus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,True
1759317034.499652,C1p1Cz3fZhnLdS9xj1,10.0.0.1,60720,8.8.8.8,53,udp,39241,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759317037.183903,CSkyCf2FBObgoGNIQ3,10.0.0.1,52941,8.8.8.8,53,udp,40032,0.0118560791015625,1.0.0.10.in-addr.arpa,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,True,True,0,['10.0.0.1'],[0.0],False
1759317041.252063,Cv4Khz4gRPYeRpOls6,10.0.0.1,42898,8.8.8.8,53,udp,40604,0.0120809078216552,www.youtube.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,['youtube-ui.l.google.com'],[281.0],False
1759317045.096978,CJ156h3YIqg4kLJael,10.0.0.1,33568,8.8.8.8,53,udp,39583,0.0076651573181152,i.ytimg.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['74.125.200.119', '74.125.130.119', '74.125.68.119', '74.125.24.119', '142.250.4.119', '172.217.194.119', '172.217.70.119', '172.253.118.119', '142.251.10.119', '142.251.12.119', '64.233.170.119']","[90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",False
1759317034.875963,Ce1g9h1sHX1C6u2Zlj,10.0.0.2,5353,224.0.0.251,5353,udp,0,,_googlecast._tcp.local,1.0,C_INTERNET,12.0,PTR,,,False,False,False,False,0,,,False
1759317037.21495,CgLja34Xrkmz4eYlS,10.0.0.1,37655,8.8.8.8,53,udp,59665,0.0039689540863037,1.0.19.172.in-addr.arpa,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,True,True,0,['172.19.0.1'],[0.0],False
1759317044.71761,C77sJT3UnvCuMSt5xe,10.0.0.1,45180,8.8.8.8,53,udp,48329,0.0073270797729492,rr1---sn-8pxuuxa-i5o6d.googlevideo.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['rr1.sn-8pxuuxa-i5o6d.googlevideo.com', '117.0.209.12']","[1466.0, 1466.0]",False
1759317031.542094,CTBr4f3orVYudzEvKb,fe80::3113:d8f7:b14f:cd9c,5353,ff02::fb,5353,udp,0,,c.9.d.c.f.4.1.b.7.f.8.d.3.1.1.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,,,,,0.0,NOERROR,True,False,False,False,0,"['humanity.local', 'fe80::3113:d8f7:b14f:cd9c']","[120.0, 120.0]",False
1759317045.096981,CudRP32CsY51IMJrf2,10.0.0.1,51207,8.8.8.8,53,udp,4285,,i.ytimg.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759317028.230006,Ce1g9h1sHX1C6u2Zlj,10.0.0.2,5353,224.0.0.251,5353,udp,0,,2.0.0.10.in-addr.arpa,1.0,C_INTERNET,255.0,*,,,False,False,False,False,0,,,False
1759317037.201258,C5tGph4TP7RwWwQm49,10.0.0.1,36860,8.8.8.8,53,udp,6984,0.0039620399475097,1.28.168.192.in-addr.arpa,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,True,True,0,['192.168.28.1'],[0.0],False
1759317037.205927,CVEuX32BGqo7XkQev5,10.0.0.1,52617,8.8.8.8,53,udp,57572,0.0041050910949707,1.0.18.172.in-addr.arpa,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,True,True,0,['172.18.0.1'],[0.0],False
1759317044.717613,COxr9F2Wa1rxAUoKUe,10.0.0.1,53679,8.8.8.8,53,udp,46879,0.0073211193084716,rr1---sn-8pxuuxa-i5o6d.googlevideo.com,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,['rr1.sn-8pxuuxa-i5o6d.googlevideo.com'],[1214.0],False
1759317051.165463,CudRP32CsY51IMJrf2,10.0.0.1,51207,8.8.8.8,53,udp,4285,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759317037.196981,CJc7vx3A2iodSSLtQj,10.0.0.1,51097,8.8.8.8,53,udp,51912,0.0035851001739501,1.128.168.192.in-addr.arpa,1.0,C_INTERNET,12.0,PTR,0.0,NOERROR,True,False,True,True,0,['192.168.128.1'],[0.0],False
